part,image,method,g_x,g_y,r_x,r_y
P1_single,tobolsk.jpg,l2,3,3,3,6
P1_single,tobolsk.jpg,ncc,3,3,3,6
P1_single,cathedral.jpg,l2,2,5,3,12
P1_single,cathedral.jpg,ncc,2,5,3,12
P1_single,monastery.jpg,l2,2,-3,2,3
P1_single,monastery.jpg,ncc,2,-3,2,3
P2_pyramid,church.tif,l2,4,25,-4,58
P2_pyramid,church.tif,ncc,4,25,-4,58
P2_pyramid,emir_500.tif,l2,24,49,57,103
P2_pyramid,emir_500.tif,ncc,24,49,56,104
P2_pyramid,harvesters.tif,l2,16,59,13,124
P2_pyramid,harvesters.tif,ncc,17,60,13,124
P2_pyramid,icon.tif,l2,17,41,23,90
P2_pyramid,icon.tif,ncc,17,41,23,89
P2_pyramid,melons_500.tif,l2,11,82,14,141
P2_pyramid,melons_500.tif,ncc,11,82,13,141
P2_pyramid,melons_200.tif,l2,11,82,13,178
P2_pyramid,melons_200.tif,ncc,11,82,13,178
P2_pyramid,ilemselga.tif,l2,7,39,11,130
P2_pyramid,ilemselga.tif,ncc,7,40,11,130
P2_pyramid,self_portrait.tif,l2,29,79,37,176
P2_pyramid,self_portrait.tif,ncc,29,79,37,176
P2_pyramid,religious_painting.tif,l2,3,28,7,68
P2_pyramid,religious_painting.tif,ncc,3,28,7,68
P2_pyramid,siren.tif,l2,-6,49,-25,96
P2_pyramid,siren.tif,ncc,-6,49,-25,96
P2_pyramid,three_generations.tif,l2,14,53,11,112
P2_pyramid,three_generations.tif,ncc,14,53,11,112
P2_pyramid,wharf.tif,l2,-7,15,-16,83
P2_pyramid,wharf.tif,ncc,-7,15,-16,83
P2_pyramid,emir_200.tif,l2,24,49,57,103
P2_pyramid,emir_200.tif,ncc,24,49,-455,416
